[7:05:37 pm] Internet Status: On, Speed Level: Slow
[7:08:29 pm] Internet Status: On, Speed Level: Slow
[7:09:06 pm] Internet Status: On, Speed Level: Medium
[7:09:07 pm] Internet Status: On, Speed Level: Fast
[7:09:08 pm] Internet Status: On, Speed Level: Fast
[7:10:04 pm] Internet Status: On, Speed Level: Fast
[7:11:05 pm] Internet Status: On, Speed Level: Slow
[7:12:04 pm] Internet Status: On, Speed Level: Fast
[7:13:08 pm] Internet Status: On, Speed Level: Slow
[7:14:04 pm] Internet Status: On, Speed Level: Medium
[7:15:04 pm] Internet Status: On, Speed Level: Slow
[7:16:04 pm] Internet Status: On, Speed Level: Medium
[7:17:25 pm] Internet Status: Off, Speed Level: ---
